City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Hilo,US,2021-05-17 13:11:41,19.7297,-155.09,73.4,73,40,4.61
67,Pisco,PE,2021-05-17 13:11:42,-13.7,-76.2167,63.0,88,75,3.44
68,Esperance,AU,2021-05-17 13:11:42,-33.8667,121.9,62.6,51,19,12.66
69,Pyinmana,MM,2021-05-17 13:11:42,19.7333,96.2167,91.33,40,100,5.21
70,Tilichiki,RU,2021-05-17 13:11:43,60.4667,166.1,31.06,99,100,8.25
71,Pacific Grove,US,2021-05-17 13:11:43,36.6177,-121.9166,52.0,87,84,3.09
72,Saldanha,ZA,2021-05-17 13:11:44,-33.0117,17.9442,66.2,45,0,1.14
73,San Lorenzo,PY,2021-05-17 13:09:41,-25.3333,-57.5333,73.4,73,40,2.3
74,Talnakh,RU,2021-05-17 13:11:44,69.4865,88.3972,21.52,91,83,6.58
75,Xichang,CN,2021-05-17 13:11:45,27.8964,102.2634,69.01,59,50,5.55
76,Liverpool,GB,2021-05-17 13:09:46,53.4106,-2.9779,57.2,67,40,18.41
77,Hobart,AU,2021-05-17 13:11:45,-42.8794,147.3294,50.0,57,20,9.22
78,Maibong,IN,2021-05-17 13:11:46,25.3,93.1667,77.4,76,75,1.59
79,Iqaluit,CA,2021-05-17 13:11:47,63.7506,-68.5145,17.6,79,75,4.61
80,Hovd,MN,2021-05-17 13:11:47,48.0056,91.6419,66.83,22,61,8.46
81,Lumphat,KH,2021-05-17 13:11:47,13.4878,106.9816,85.1,65,100,2.46
82,Lagoa,PT,2021-05-17 13:11:48,39.05,-27.9833,60.93,81,100,12.91
83,Khatanga,RU,2021-05-17 13:11:48,71.9667,102.5,18.75,94,100,7.34
84,Puerto Lempira,HN,2021-05-17 13:11:49,15.2667,-83.7667,75.2,94,75,4.59
85,Jamestown,US,2021-05-17 13:11:49,42.097,-79.2353,57.99,67,1,13.8
86,Lipari,IT,2021-05-17 13:11:50,38.4674,14.954,75.0,64,10,1.99
87,Katsuura,JP,2021-05-17 13:11:50,35.1333,140.3,75.0,94,90,14.97
88,Corinto,GR,2021-05-17 13:11:21,37.9407,22.9573,79.0,49,30,1.01
89,Yenagoa,NG,2021-05-17 13:11:51,4.9247,6.2642,86.43,69,97,1.99
90,Kollam,IN,2021-05-17 13:11:51,8.8833,76.6,87.8,74,40,5.75
91,Saeby,DK,2021-05-17 13:11:52,57.3319,10.5225,51.01,93,40,8.05
92,Guatire,VE,2021-05-17 13:11:53,10.4762,-66.5427,78.8,83,40,4.61
93,Greenville,US,2021-05-17 13:11:53,35.6127,-77.3663,68.0,68,1,2.93
94,Butaritari,KI,2021-05-17 13:11:54,3.0707,172.7902,83.46,78,24,18.79
95,Ayutla,MX,2021-05-17 13:11:54,20.1167,-104.3333,65.21,65,0,1.54
96,Batemans Bay,AU,2021-05-17 13:08:57,-35.7167,150.1833,46.99,79,18,3.0
97,Kununurra,AU,2021-05-17 13:11:55,-15.7667,128.7333,60.8,67,0,7.45
98,Lasa,IT,2021-05-17 13:11:55,46.6166,10.7002,71.6,81,40,5.75
99,Hithadhoo,MV,2021-05-17 13:11:56,-0.6,73.0833,84.83,69,48,7.31
100,Renfrew,GB,2021-05-17 13:11:56,55.872,-4.3925,55.4,58,40,8.05
101,Byron Bay,AU,2021-05-17 13:11:56,-28.65,153.6167,55.4,76,89,8.05
102,Los Llanos De Aridane,ES,2021-05-17 13:11:57,28.6585,-17.9182,71.6,73,20,16.11
103,Upernavik,GL,2021-05-17 13:11:57,72.7868,-56.1549,32.05,85,99,4.32
104,Roald,NO,2021-05-17 13:11:58,62.5833,6.1333,54.0,76,20,9.22
105,Atuona,PF,2021-05-17 13:11:58,-9.8,-139.0333,79.09,72,93,11.05
106,Avarua,CK,2021-05-17 13:10:53,-21.2078,-159.775,75.2,78,75,10.36
107,Ahipara,NZ,2021-05-17 13:11:59,-35.1667,173.1667,60.84,66,45,13.87
108,Iquitos,PE,2021-05-17 13:11:59,-3.7481,-73.2472,77.0,88,75,3.44
109,Provideniya,RU,2021-05-17 13:12:00,64.3833,-173.3,30.79,88,100,3.13
110,Samarai,PG,2021-05-17 13:12:00,-10.6167,150.6667,81.52,84,87,12.19
111,Elmina,GH,2021-05-17 13:12:01,5.0898,-1.348,85.96,67,100,11.7
