City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Christchurch,NZ,2021-07-16 19:38:21,-43.5333,172.6333,53.01,90,100,3.0
68,Albany,US,2021-07-16 19:42:25,42.6001,-73.9662,87.67,65,68,10.96
69,Sept-Iles,CA,2021-07-16 19:42:25,50.2001,-66.3821,71.26,65,75,8.01
70,Soyo,AO,2021-07-16 19:42:26,-6.1349,12.3689,72.73,86,15,9.73
71,Barrow,US,2021-07-16 19:39:11,71.2906,-156.7887,48.22,81,90,14.97
72,Souillac,MU,2021-07-16 19:42:26,-20.5167,57.5167,70.18,83,40,11.5
73,Bathsheba,BB,2021-07-16 19:42:27,13.2167,-59.5167,79.41,89,75,11.5
74,Havre-Saint-Pierre,CA,2021-07-16 19:42:27,50.2334,-63.5986,64.76,94,90,12.66
75,Deqing,CN,2021-07-16 19:42:27,30.5448,119.9599,85.96,97,100,2.93
76,Hargeysa,SO,2021-07-16 19:42:28,9.56,44.065,72.97,52,100,22.1
77,Roald,NO,2021-07-16 19:42:28,62.5833,6.1333,67.12,77,40,23.02
78,Sabla,NG,2021-07-16 19:42:29,12.7525,4.7077,88.83,52,55,6.22
79,Iquitos,PE,2021-07-16 19:42:29,-3.7481,-73.2472,87.84,66,75,4.61
80,Maniitsoq,GL,2021-07-16 19:42:30,65.4167,-52.9,48.72,72,29,5.01
81,Kutum,SD,2021-07-16 19:42:30,14.2,24.6667,74.12,54,98,8.93
82,Kasongo-Lunda,CD,2021-07-16 19:42:30,-6.4667,16.8167,75.79,29,43,1.21
83,Kushiro,JP,2021-07-16 19:42:31,42.975,144.3747,63.5,99,100,1.1
84,Dossor,KZ,2021-07-16 19:42:31,47.5272,52.9811,80.11,37,7,8.81
85,Tuktoyaktuk,CA,2021-07-16 19:42:32,69.4541,-133.0374,57.2,58,40,6.91
86,Cherskiy,RU,2021-07-16 19:42:32,68.75,161.3,55.8,44,32,11.74
87,Praia,CV,2021-07-16 19:42:32,14.9215,-23.5087,79.34,65,20,9.22
88,Virginia Beach,US,2021-07-16 19:42:33,36.8529,-75.978,97.02,61,75,12.66
89,Bonito,BR,2021-07-16 19:42:08,-21.1211,-56.4819,76.05,57,99,6.11
90,Tonekabon,IR,2021-07-16 19:42:33,36.8163,50.8738,75.15,76,78,3.51
91,Gat,IL,2021-07-16 19:42:33,31.61,34.7642,83.39,79,0,2.89
92,Ketchikan,US,2021-07-16 19:42:34,55.3422,-131.6461,61.27,72,90,12.66
93,Flinders,AU,2021-07-16 19:42:34,-34.5833,150.8552,56.37,62,84,3.0
94,Guerrero Negro,MX,2021-07-16 19:38:56,27.9769,-114.0611,78.44,55,39,16.28
95,Bentiu,SS,2021-07-16 19:42:35,9.2333,29.8333,72.7,91,99,2.68
96,Provideniya,RU,2021-07-16 19:42:35,64.3833,-173.3,46.92,97,100,8.43
97,Yulara,AU,2021-07-16 19:42:36,-25.2406,130.9889,40.84,60,38,5.75
98,Longonjo,AO,2021-07-16 19:42:36,-12.9067,15.2533,63.57,32,36,2.86
99,Solnechnyy,RU,2021-07-16 19:42:36,50.7214,136.6319,71.96,90,51,2.64
100,Ternate,ID,2021-07-16 19:42:37,0.8,127.4,77.68,86,100,12.59
101,Te Anau,NZ,2021-07-16 19:42:37,-45.4167,167.7167,44.2,94,95,1.66
102,Agadez,NE,2021-07-16 19:42:38,19.75,10.25,95.41,14,14,7.87
103,Bouna,CI,2021-07-16 19:42:38,9.2667,-3.0,78.21,73,100,2.95
104,Ambunti,PG,2021-07-16 19:42:38,-4.2365,142.8448,73.45,99,100,1.45
105,Yellowknife,CA,2021-07-16 19:40:03,62.456,-114.3525,53.33,46,75,0.0
106,Black Forest,US,2021-07-16 19:42:39,39.0131,-104.7008,86.7,29,75,4.0
107,Chokurdakh,RU,2021-07-16 19:42:39,70.6333,147.9167,57.83,56,100,3.74
108,Anadyr,RU,2021-07-16 19:42:40,64.75,177.4833,52.3,81,75,13.0
109,Cidreira,BR,2021-07-16 19:42:40,-30.1811,-50.2056,57.29,75,10,6.2
110,Bredasdorp,ZA,2021-07-16 19:42:40,-34.5322,20.0403,43.92,87,2,6.91
111,Singaraja,ID,2021-07-16 19:42:41,-8.112,115.0882,76.62,81,98,6.13
112,Rocha,UY,2021-07-16 19:42:41,-34.4833,-54.3333,54.05,69,0,5.59
113,Narsaq,GL,2021-07-16 19:42:41,60.9167,-46.05,59.22,56,100,3.15
114,Malangali,TZ,2021-07-16 19:42:42,-8.5667,34.85,58.91,56,1,13.2
115,Mackay,AU,2021-07-16 19:42:42,-21.15,149.2,62.58,88,40,1.14
116,San Quintin,MX,2021-07-16 19:42:42,30.4833,-115.95,74.07,68,8,12.59
117,Talnakh,RU,2021-07-16 19:42:43,69.4865,88.3972,48.25,69,100,2.33
118,Castro,BR,2021-07-16 19:42:43,-24.7911,-50.0119,57.24,98,100,1.95
119,Ulaangom,MN,2021-07-16 19:42:43,49.9811,92.0667,71.42,43,100,2.28
120,Pevek,RU,2021-07-16 19:42:44,69.7008,170.3133,37.24,89,41,10.16
121,Farmington,US,2021-07-16 19:37:52,36.7281,-108.2187,94.69,22,1,4.61
122,Moron,AR,2021-07-16 19:42:44,-34.6534,-58.6198,62.29,59,42,8.01
123,Russell,US,2021-07-16 19:42:45,32.3502,-85.1999,90.91,57,20,3.44
124,Igarka,RU,2021-07-16 19:42:45,67.4667,86.5833,48.36,74,99,11.39
125,Georgetown,MY,2021-07-16 19:42:45,5.4112,100.3354,82.89,79,20,1.99
126,Avarua,CK,2021-07-16 19:37:52,-21.2078,-159.775,75.25,88,75,13.8
127,Caxito,AO,2021-07-16 19:42:46,-8.5785,13.6643,74.05,92,14,1.14
128,Nyurba,RU,2021-07-16 19:42:46,63.2842,118.3319,53.13,64,5,5.44
129,Pekalongan,ID,2021-07-16 19:42:47,-6.8886,109.6753,69.01,73,90,4.45
130,Namatanai,PG,2021-07-16 19:42:47,-3.6667,152.4333,79.57,87,90,6.11
131,Gazanjyk,TM,2021-07-16 19:42:47,39.2446,55.5154,87.75,21,98,4.03
132,Khanu Woralaksaburi,TH,2021-07-16 19:42:48,16.0617,99.8606,77.99,87,100,1.9
133,Dingle,PH,2021-07-16 19:42:48,10.9995,122.6711,75.49,91,98,6.89
134,Inirida,CO,2021-07-16 19:42:49,3.8653,-67.9239,71.91,99,100,1.99
135,Saskylakh,RU,2021-07-16 19:42:49,71.9167,114.0833,42.3,88,100,11.14
136,Comodoro Rivadavia,AR,2021-07-16 19:42:50,-45.8667,-67.5,51.66,43,40,14.97
137,Aklavik,CA,2021-07-16 19:42:50,68.2191,-135.0107,61.63,63,75,2.3
138,Pedasi,PA,2021-07-16 19:42:50,7.5333,-80.0333,82.98,74,100,9.28
139,Hithadhoo,MV,2021-07-16 19:42:51,-0.6,73.0833,83.17,75,69,11.61
140,Kodiak,US,2021-07-16 19:42:51,57.79,-152.4072,74.71,43,1,12.66
141,Hualmay,PE,2021-07-16 19:42:51,-11.0964,-77.6139,67.55,72,14,10.27
142,Ko Samui,TH,2021-07-16 19:42:52,9.5357,99.9357,83.05,75,96,6.44
143,Sechura,PE,2021-07-16 19:42:52,-5.5569,-80.8222,76.64,57,18,13.91
144,Lompoc,US,2021-07-16 19:39:44,34.6391,-120.4579,85.69,74,20,8.05
145,Sobolevo,RU,2021-07-16 19:42:53,54.4299,31.8996,69.13,79,0,7.02
146,Gencsapati,HU,2021-07-16 19:42:53,47.285,16.5958,76.01,56,66,14.2
147,Shubarshi,KZ,2021-07-16 19:42:53,48.5872,57.1869,79.54,28,57,8.19
148,Gornopravdinsk,RU,2021-07-16 19:42:54,60.05,69.9,49.86,94,74,4.68
149,Ponta Do Sol,PT,2021-07-16 19:42:54,32.6667,-17.1,73.71,81,3,3.06
150,Port Lincoln,AU,2021-07-16 19:42:55,-34.7333,135.8667,50.45,59,92,26.57
151,Acarau,BR,2021-07-16 19:42:55,-2.8856,-40.12,81.99,71,4,14.74
152,Yaan,NG,2021-07-16 19:42:55,7.3833,8.5667,71.47,91,100,7.76
153,Bluff,NZ,2021-07-16 19:42:56,-46.6,168.3333,43.81,93,99,8.72
154,Yining,CN,2021-07-16 19:42:56,29.0361,114.5636,77.94,87,100,1.95
155,Torbay,CA,2021-07-16 19:42:57,47.6666,-52.7314,75.97,70,75,19.57
156,Mount Gambier,AU,2021-07-16 19:42:57,-37.8333,140.7667,48.11,93,75,19.57
157,Longyearbyen,SJ,2021-07-16 19:39:36,78.2186,15.6401,48.04,81,75,2.3
158,Sao Joao Da Barra,BR,2021-07-16 19:42:58,-21.6403,-41.0511,80.69,75,5,7.72
159,Saint-Philippe,RE,2021-07-16 19:42:58,-21.3585,55.7679,69.39,81,42,15.52
160,Ariquemes,BR,2021-07-16 19:42:58,-9.9133,-63.0408,96.71,25,47,2.48
161,Huarmey,PE,2021-07-16 19:42:59,-10.0681,-78.1522,69.21,69,1,10.8
162,Kiruna,SE,2021-07-16 19:42:59,67.8557,20.2251,52.72,66,90,9.22
163,Katsuura,JP,2021-07-16 19:43:00,35.1333,140.3,78.12,90,20,3.49
164,Rawlins,US,2021-07-16 19:43:00,41.7911,-107.2387,85.89,14,1,4.97
165,Labrea,BR,2021-07-16 19:43:00,-7.2586,-64.7981,90.68,45,85,3.11
166,Cedar City,US,2021-07-16 19:43:01,37.6775,-113.0619,83.37,33,1,13.2
167,Mount Hagen,PG,2021-07-16 19:43:01,-5.8581,144.2274,56.88,94,100,1.66
168,Shache,CN,2021-07-16 19:43:01,38.4167,77.2406,80.26,35,1,13.18
169,Kavieng,PG,2021-07-16 19:43:02,-2.5744,150.7967,82.18,79,85,6.31
